program,plan,gt_total,pred_total,tp,fn,fp,precision,recall,f1,precision_percent,recall_percent,f1_percent
DSBA,coop,89,89,89,0,0,1.0,1.0,1.0,100.0,100.0,100.0
DSBA,no_coop,90,90,90,0,0,1.0,1.0,1.0,100.0,100.0,100.0
